# collprof 0.9 output file
# Sun Mar 22 23:11:26 2009
# host: chic2i26
# Init clockdiff: 0.000000

MPI_Init:-:140735703918804:127:1237759886260335.000000
MPI_Comm_rank:1237759886260357.000000:0,0,4:140735703918792:1237759886260381.000000
MPI_Comm_size:1237759886260395.000000:0,0,4:140735703918716:1237759886260400.000000
MPI_Type_extent:1237759886260444.000000:2,4,4:140735703881580:1237759886260495.000000
MPI_Type_struct:1237759886260508.000000:2:140735703881584:140735703881520:140735703881600:140735703881568:1237759886260542.000000
MPI_Type_commit:1237759886260555.000000:140735703881568:1237759886260565.000000
MPI_Comm_rank:1237759886260569.000000:0,0,4:140735703881548:1237759886260574.000000
MPI_Comm_size:1237759886260578.000000:0,0,4:140735703881540:1237759886260582.000000
MPI_Send:1237759886287766.000000:140735703881280:1:1052329664,192,192:1:222:0,0,4:1237759886287813.000000
MPI_Send:1237759886287818.000000:140735703881280:1:1052329664,192,192:2:222:0,0,4:1237759886287832.000000
MPI_Send:1237759886287836.000000:140735703881280:1:1052329664,192,192:3:222:0,0,4:1237759886288013.000000
MPI_Bcast:1237759886288126.000000:590637648:1:2,4,4:0:0,0,4:1237759886288190.000000
MPI_Comm_rank:1237759886288195.000000:0,0,4:140735703880376:1237759886288200.000000
MPI_Barrier:1237759886399022.000000:0,0,4:1237759886399429.000000
MPI_Bcast:1237759886399434.000000:5570880:23296:11,8,8:0:0,0,4:1237759886402568.000000
MPI_Comm_rank:1237759886404185.000000:0,0,4:140735703881588:1237759886404194.000000
MPI_Comm_size:1237759886404237.000000:0,0,4:140735703881592:1237759886404242.000000
MPI_Comm_rank:1237759886404246.000000:0,0,4:140735703881596:1237759886404251.000000
MPI_Irecv:1237759886409075.000000:6232256:1:11,8,8:-1:-1:0,0,4:6166720:1237759886409146.000000
MPI_Irecv:1237759886409150.000000:6232264:1:11,8,8:-1:-1:0,0,4:6166724:1237759886409156.000000
MPI_Irecv:1237759886409160.000000:6232272:1:11,8,8:-1:-1:0,0,4:6166728:1237759886409167.000000
MPI_Waitall:1237759886409182.000000:3:6166720:5839040:1237759886411243.000000
MPI_Barrier:1237759886411249.000000:0,0,4:1237759886411307.000000
MPI_Irecv:1237759889123844.000000:518541664:16:11,8,8:-1:-1:0,0,4:585978208:1237759889123867.000000
MPI_Irecv:1237759889123871.000000:518545760:16:11,8,8:-1:-1:0,0,4:585978212:1237759889123877.000000
MPI_Irecv:1237759889123882.000000:518549856:16:11,8,8:-1:-1:0,0,4:585978216:1237759889123888.000000
MPI_Waitall:1237759889123892.000000:3:585978208:585650528:1237759889225599.000000
MPI_Reduce:1237759889225636.000000:586555776:6756576:1960:11,8,46909632806920:3:0:0,0,4:1237759889225839.000000
MPI_Reduce:1237759889225843.000000:140735703918700:140735703918728:1:2,4,46909632806916:3:0:0,0,4:1237759889225859.000000
MPI_Barrier:1237759889225863.000000:0,0,4:1237759889225911.000000
MPI_Reduce:1237759889225917.000000:140735703918704:140735703918808:1:11,8,8:3:0:0,0,4:1237759889226026.000000
MPI_Allreduce:1237759889226043.000000:140735703918664:140735703918816:1:11,8,8:3:0,0,4:1237759889226162.000000
MPI_Reduce:1237759889226167.000000:140735703918848:140735703918824:1:11,8,8:3:0:0,0,4:1237759889226281.000000
# Finalize clockdiff: 0.000000
MPI_Finalize:1237759889259254.000000:-
